fighter,weight_class
Rick Story,Welterweight
Hyun Gyu Lim,Welterweight
Colby Covington,Welterweight
Alberto Uda,Middleweight
Viktor Pesta,Heavyweight
Francisco Rivera,Bantamweight
Ross Pearson,Welterweight
Michael Graves,Welterweight
Cesar Arzamendia,Lightweight
Jim Alers,Featherweight
Michael McDonald,Bantamweight
Lauren Murphy,Women's Bantamweight
Devin Clark,Middleweight
Brock Lesnar,Heavyweight
Cain Velasquez,Heavyweight
Andrew Sanchez,Light Heavyweight
Dooho Choi,Featherweight
Joaquim Silva,Lightweight
Cory Hendricks,Light Heavyweight
Anthony Birchak,Bantamweight
Russell Doane,Bantamweight
Marco Beltran,Bantamweight
Rory MacDonald,Welterweight
Steve Bosse,Light Heavyweight
Valerie Letourneau,Women's Flyweight
Tamdan McCrory,Middleweight
Chris Beal,Bantamweight
Ali Bagautinov,Flyweight
Dan Henderson,Middleweight
Sean Strickland,Welterweight
Kevin Casey,Middleweight
Chris Camozzi,Middleweight
Jake Collier,Middleweight
Antonio Silva,Heavyweight
Albert Tumenov,Welterweight
Jon Tuck,Lightweight
Yan Cabral,Lightweight
Ulka Sasaki,Flyweight
Efrain Escudero,Lightweight
Khabib Nurmagomedov,Catch Weight
Oluwale Bamgbose,Middleweight
Ben Rothwell,Heavyweight
Igor Pokrajac,Light Heavyweight
Nicolas Dalby,Welterweight
Ian Entwistle,Bantamweight
Filip Pejic,Bantamweight
Rob Whiteford,Featherweight
Jared Cannonier,Heavyweight
Hector Lombard,Welterweight
James Te Huna,Light Heavyweight
Bec Rawlings,Women's Strawweight
Brendan O'Reilly,Welterweight
Conor McGregor,Welterweight
Julian Erosa,Featherweight
Tom Breese,Welterweight
Mike Wilkinson,Featherweight
Norman Parke,Lightweight
Teemu Packalen,Lightweight
Cody Garbrandt,Catch Weight
Daniel Sarafian,Middleweight
Jonavin Webb,Welterweight
Ray Borg,Flyweight
Noad Lahat,Featherweight
Josh Barnett,Heavyweight
George Sullivan,Welterweight
Matt Dwyer,Welterweight
Damon Jackson,Featherweight
Patrick Cote,Welterweight
Tim Boetsch,Light Heavyweight
Maximo Blanco,Featherweight
Charles Rosa,Featherweight
Lorenz Larkin,Welterweight
Diego Brandao,Featherweight
Sheldon Westcott,Welterweight
Charles Oliveira,Featherweight
Sarah Kaufman,Women's Bantamweight
Josh Samman,Middleweight
Hayder Hassan,Welterweight
Joe Proctor,Lightweight
Artem Lobov,Lightweight
Tatsuya Kawajiri,Featherweight
Julian Erosa,Lightweight
Gabriel Gonzaga,Heavyweight
Joby Sanchez,Flyweight
Omari Akhmedov,Welterweight
Zubaira Tukhugov,Featherweight
Benson Henderson,Welterweight
Yoshihiro Akiyama,Welterweight
Dongi Yang,Middleweight
Yui Chul Nam,Featherweight
Tae Hyun Bang,Lightweight
Ning Guangyou,Bantamweight
Dominique Steele,Welterweight
Horacio Gutierrez,Lightweight
Hector Urbina,Welterweight
Vernon Ramos,Welterweight
Valmir Lazaro,Lightweight
Ronda Rousey,Women's Bantamweight
Anthony Perosh,Light Heavyweight
Richie Vaculik,Flyweight
Alex Oliveira,Lightweight
Fabio Maldonado,Light Heavyweight
Gleison Tibau,Lightweight
Clay Guida,Featherweight
Kevin Souza,Featherweight
Viscardi Andrade,Welterweight
Bruno Korea,Bantamweight
Paddy Holohan,Flyweight
Neil Seery,Flyweight
Aisling Daly,Women's Strawweight
Cathal Pendred,Welterweight
Bubba Bush,Middleweight
Shawn Jordan,Heavyweight
Adriano Martins,Lightweight
Francisco Trevino,Lightweight
Chris Cariaso,Flyweight
Takeya Mizugaki,Bantamweight
Katsunori Kikuno,Featherweight
Mizuto Hirota,Featherweight
Naoyuki Kotani,Lightweight
Jessica Andrade,Women's Bantamweight
Clay Collard,Featherweight
Joe Riggs,Middleweight
Sam Stout,Lightweight
Yves Jabouin,Bantamweight
Chris Kelades,Flyweight
Jared Rosholt,Heavyweight
Chris Dempsey,Light Heavyweight
Anthony Christodoulou,Lightweight
Reginaldo Vieira,Bantamweight
Rafael Feijao,Light Heavyweight
Hugo Viana,Bantamweight
Kenny Robertson,Welterweight
Daron Cruickshank,Lightweight
Ramsey Nijem,Lightweight
Jessamyn Duke,Women's Bantamweight
Mickael Lebout,Lightweight
Marcus Brimage,Bantamweight
Frank Mir,Heavyweight
Josh Thomson,Lightweight
Scott Jorgensen,Bantamweight
Igor Araujo,Welterweight
Andrew Craig,Welterweight
Angela Magana,Women's Strawweight
Dan Miller,Middleweight
Darrell Montague,Flyweight
Mike Swick,Welterweight
Yosdenis Cedeno,Lightweight
Leandro Silva,Welterweight
Steve Montgomery,Welterweight
Danny Martinez,Bantamweight
Dennis Siver,Featherweight
Alan Omer,Featherweight
Niklas Backstrom,Featherweight
Piotr Hallmann,Lightweight
Gilbert Melendez,Lightweight
Thiago Tavares,Featherweight
Brian Ebersole,Welterweight
Ricardo Abreu,Middleweight
Nik Lentz,Featherweight
KJ Noons,Welterweight
Wendell Oliveira,Welterweight
Lucas Martins,Featherweight
Luiz Dutra,Welterweight
Donald Cerrone,Lightweight
John Dodson,Flyweight
Mark Munoz,Middleweight
Phillipe Nover,Featherweight
Mark Eddiva,Featherweight
Zhang Lipeng,Lightweight
Roldan Sangcha-an,Flyweight
Nolan Ticman,Flyweight
Hatsu Hioki,Featherweight
Dylan Andrews,Middleweight
Vik Grujic,Welterweight
Alptekin Ozkilic,Flyweight
Rampage Jackson,Catch Weight
John Makdessi,Catch Weight
Jessica Rakoczy,Women's Strawweight
Eddie Gordon,Middleweight
